"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"186","20001, Northwest Washington, Washington","42","4200 10th Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1160,862,1560
"186","20001, Northwest Washington, Washington","43","900 Randolph Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1122,831,1514
"186","20001, Northwest Washington, Washington","44","1200 New Jersey Avenue Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",512,341,768
"186","20001, Northwest Washington, Washington","45","0 L Place Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",221,88,551
"186","20001, Northwest Washington, Washington","46","1900 Anacostia Drive, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",750,516,1088
"186","20001, Northwest Washington, Washington","47","0 S Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",646,452,922
"186","20001, Northwest Washington, Washington","48","3500 Commodore Joshua Barney Drive Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1125,758,1667
"186","20001, Northwest Washington, Washington","49","2700 10th Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1048,770,1426
"186","20001, Northwest Washington, Washington","50","5700 Chevy Chase Parkway Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1643,1318,2048
"186","20001, Northwest Washington, Washington","51","1300 Underwood Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1546,1193,2003
"186","20001, Northwest Washington, Washington","52","200 Quackenbos Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1411,1063,1871
"186","20001, Northwest Washington, Washington","53","600 Atlantic Street Southeast, Southeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",1218,880,1684
"186","20001, Northwest Washington, Washington","54","3300 Clay Street Northeast, Northeast Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",920,632,1338
"186","20001, Northwest Washington, Washington","55","500 Q Street Northwest, Northwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",435,270,699
"186","20001, Northwest Washington, Washington","56","Center Leg Freeway, Southwest Washington, Washington","1/1/2018 - 1/31/2018, Every day, Daily Average",419,274,640
